date, pm25, pm10, o3, no2, so2, co
23/06/2019,55.00,34.00,24.00,6.00,4.29,2.00
22/06/2019,49.00,40.00,20.00,7.00,4.29,3.00
21/06/2019,62.00,31.00,27.00,5.00,4.29,3.00
20/06/2019,38.00,52.00,25.00,6.00,4.29,3.00
19/06/2019,52.00,44.00,21.00,3.00,4.29,3.00
18/06/2019,52.00,55.00,19.00,3.00,4.29,3.00
17/06/2019,53.00,51.00,19.00,3.00,4.29,2.00
16/06/2019,56.00,54.00,15.00,2.00,4.29,2.00
15/06/2019,56.00,48.00,16.00,2.00,4.29,2.00
14/06/2019,41.00,49.00,19.00,3.00,4.29,2.00
13/06/2019,23.00,33.00,20.00,3.00,4.29,2.00
12/06/2019,28.00,21.00,17.00,3.00,4.29,2.00
11/06/2019,32.00,26.00,20.00,3.00,4.29,3.00
10/06/2019,61.00,33.00,25.00,6.00,4.29,3.00
9/06/2019,74.00,39.00,34.00,6.00,4.29,3.00
8/06/2019,79.00,47.00,39.00,9.00,4.29,4.00
7/06/2019,75.00,50.00,36.00,9.00,4.29,4.00
6/06/2019,93.00,53.00,37.00,9.00,1.00,3.00
5/06/2019,82.00,71.00,35.00,10.00,4.29,3.00
4/06/2019,66.00,64.00,37.00,11.00,4.29,4.00
3/06/2019,70.00,44.00,35.00,9.00,4.29,3.00
2/06/2019,97.00,51.00,27.00,5.00,4.29,4.00
1/06/2019,82.00,81.00,37.00,10.00,1.00,5.00
31/05/2019,91.00,63.00,29.00,8.00,4.29,4.00
30/05/2019,103.00,72.00,32.00,8.00,1.00,6.00
29/05/2019,120.00,81.00,48.00,8.00,1.00,5.00
28/05/2019,98.00,95.00,50.00,19.00,3.00,7.00
27/05/2019,97.00,85.00,33.00,15.00,2.00,5.00
26/05/2019,112.00,77.00,35.00,11.00,2.00,4.00
25/05/2019,113.00,94.00,34.00,22.00,3.00,7.00
24/05/2019,91.00,82.00,22.00,17.00,2.00,7.00
23/05/2019,105.00,65.00,39.00,15.00,1.00,6.00
22/05/2019,86.00,79.00,42.00,8.00,2.00,4.00
21/05/2019,100.00,66.00,43.00,10.00,2.00,4.00
20/05/2019,118.00,76.00,40.00,7.00,1.00,4.00
19/05/2019,129.00,84.00,45.00,9.00,1.00,5.00
18/05/2019,107.00,100.00,38.00,23.00,4.00,7.00
17/05/2019,105.00,91.00,32.00,12.00,3.00,5.00
16/05/2019,87.00,83.00,35.00,10.00,2.00,5.00
15/05/2019,99.00,67.00,32.00,15.00,2.00,5.00
14/05/2019,95.00,75.00,38.00,13.00,1.00,5.00
13/05/2019,99.00,72.00,37.00,12.00,1.00,5.00
12/05/2019,90.00,75.00,43.00,11.00,2.00,4.00
11/05/2019,112.00,61.00,41.00,10.00,1.00,4.00
10/05/2019,107.00,88.00,37.00,13.00,2.00,5.00
9/05/2019,103.00,88.00,37.00,25.00,6.00,7.00
8/05/2019,109.00,86.00,35.00,23.00,5.00,7.00
7/05/2019,122.00,96.00,38.00,22.00,4.00,7.00
6/05/2019,100.00,98.00,39.00,37.00,4.00,11.00
5/05/2019,86.00,85.00,34.00,21.00,4.00,6.00
4/05/2019,78.00,79.00,32.00,12.00,2.00,4.00
3/05/2019,87.00,78.00,34.00,6.00,2.00,3.00
2/05/2019,94.00,95.00,38.00,5.00,1.00,3.00
1/05/2019,100.00,89.00,32.00,7.00,2.00,4.00
30/04/2019,103.00,76.00,34.00,8.00,1.00,4.00
29/04/2019,93.00,74.00,26.6,8.00,1.00,4.00
28/04/2019,106.00,71.00,46.00,8.00,2.00,5.00
27/04/2019,115.00,77.00,38.00,10.00,2.00,5.00
26/04/2019,106.00,87.00,48.00,15.00,2.00,5.00
25/04/2019,85.00,77.00,50.00,12.00,2.00,5.00
24/04/2019,71.00,68.00,53.00,14.00,2.00,5.00
23/04/2019,80.00,60.00,43.00,13.00,1.00,5.00
22/04/2019,77.00,61.00,50.00,18.00,1.00,6.00
21/04/2019,65.00,48.00,32.00,10.00,4.29,4.00
20/04/2019,67.00,46.00,36.00,8.00,4.29,3.00
19/04/2019,78.00,47.00,33.00,9.00,4.29,4.00
18/04/2019,101.00,54.00,41.00,11.00,4.29,4.00
17/04/2019,75.00,78.00,46.00,13.00,4.29,5.00
16/04/2019,91.00,59.00,39.00,8.00,1.00,4.00
15/04/2019,83.00,77.00,46.00,12.00,2.00,4.00
14/04/2019,96.00,67.00,37.00,11.00,4.29,4.00
13/04/2019,77.00,70.00,41.00,17.00,1.00,5.00
12/04/2019,78.00,59.00,51.00,16.00,4.29,5.00
11/04/2019,98.80,73.00,40.00,9.00,4.29,4.00
7/04/2019,74.00,63.33,26.6,15.3,4.29,4.61
6/04/2019,79.00,53.00,21.00,6.00,4.29,3.00
5/04/2019,76.00,56.00,42.00,11.00,1.00,4.00
4/04/2019,97.00,62.00,43.00,6.00,4.29,3.00
3/04/2019,107.00,75.00,37.00,14.00,4.29,5.00
2/04/2019,107.00,80.00,39.00,15.00,4.29,6.00
1/04/2019,89.00,81.00,43.00,14.00,1.00,5.00
31/03/2019,114.00,72.00,33.00,17.00,1.00,5.00
30/03/2019,135.00,84.00,38.00,14.00,1.00,5.00
29/03/2019,139.00,85.00,46.00,17.00,1.00,6.00
28/03/2019,122.00,96.00,45.00,25.00,2.00,7.00
27/03/2019,108.00,90.00,37.00,19.00,1.00,5.00
26/03/2019,111.00,78.00,40.00,19.00,4.29,6.00
25/03/2019,106.00,82.00,37.00,19.00,4.29,6.00
24/03/2019,112.00,74.00,38.00,18.00,4.00,6.00
23/03/2019,101.00,75.00,38.00,16.00,4.29,5.00
22/03/2019,91.00,73.00,40.00,18.00,4.29,6.00
21/03/2019,98.00,65.00,33.00,12.00,1.00,5.00
20/03/2019,101.00,67.00,31.00,11.00,4.29,4.00
19/03/2019,74.00,68.00,27.00,11.00,4.29,4.00
18/03/2019,72.00,56.00,25.00,10.00,4.29,9.00
17/03/2019,98.80,70.00,24.00,12.00,1.00,15.00
16/03/2019,87.00,63.33,26.6,15.3,4.29,4.61
15/03/2019,107.00,70.00,30.00,9.00,1.00,16.00
14/03/2019,98.00,76.00,30.00,12.00,6.00,6.00
13/03/2019,99.00,75.00,27.00,11.00,4.00,2.00
12/03/2019,92.00,75.00,29.00,9.00,1.00,3.00
11/03/2019,86.00,71.00,27.00,11.00,2.00,2.00
10/03/2019,104.00,66.00,27.00,11.00,2.00,3.00
9/03/2019,107.00,69.00,29.00,13.00,2.00,2.00
8/03/2019,98.80,74.00,30.00,14.00,3.00,5.00
5/03/2019,144.00,63.33,26.6,15.3,4.29,4.61
4/03/2019,88.00,103.00,25.00,18.00,1.00,8.00
3/03/2019,98.80,69.00,36.00,14.00,2.00,10.00
2/03/2019,73.00,63.33,26.6,15.3,4.29,4.61
1/03/2019,114.00,50.00,11.00,8.00,2.00,2.00
28/02/2019,119.00,78.00,29.00,16.00,2.00,4.00
27/02/2019,129.00,86.00,32.00,15.00,3.00,3.00
26/02/2019,120.00,81.00,35.00,17.00,2.00,4.00
25/02/2019,106.00,90.00,29.00,19.00,5.00,4.00
24/02/2019,108.00,82.00,34.00,12.00,3.00,3.00
23/02/2019,126.00,70.00,37.00,12.00,3.00,3.00
22/02/2019,99.00,86.00,48.00,21.00,3.00,5.00
21/02/2019,91.00,73.00,36.00,18.00,2.00,4.00
20/02/2019,84.00,65.00,28.00,14.00,4.29,3.00
19/02/2019,127.00,64.00,23.00,12.00,1.00,3.00
18/02/2019,144.00,78.00,30.00,15.00,2.00,4.00
17/02/2019,106.00,85.00,44.00,19.00,2.00,5.00
16/02/2019,108.00,70.00,29.00,14.00,2.00,3.00
15/02/2019,89.00,73.00,34.00,15.00,1.00,4.00
14/02/2019,136.00,66.00,23.00,10.00,1.00,3.00
13/02/2019,140.00,88.00,38.00,24.00,1.00,5.00
12/02/2019,141.00,86.00,36.00,30.00,2.00,5.00
11/02/2019,143.00,80.00,31.00,19.00,4.29,4.00
10/02/2019,123.00,81.00,28.00,16.00,1.00,4.00
9/02/2019,128.00,107.00,23.00,18.00,12.00,2.00
8/02/2019,129.00,106.00,39.00,21.00,7.00,4.00
7/02/2019,133.00,91.00,30.00,25.00,2.00,5.00
6/02/2019,145.00,78.00,37.00,16.00,3.00,3.00
5/02/2019,141.00,88.00,41.00,27.00,2.00,5.00
4/02/2019,143.00,82.00,41.00,26.00,2.00,5.00
3/02/2019,132.00,79.00,38.00,21.00,1.00,4.00
2/02/2019,138.00,71.00,34.00,20.00,2.00,4.00
1/02/2019,146.00,79.00,37.00,25.00,1.00,5.00
31/01/2019,135.00,78.00,43.00,22.00,1.00,4.00
30/01/2019,129.00,78.00,36.00,28.00,2.00,5.00
29/01/2019,144.00,78.00,44.00,27.00,6.00,4.00
28/01/2019,151.00,80.00,33.00,18.00,4.00,3.00
27/01/2019,120.00,72.00,16.00,17.00,2.00,4.00
26/01/2019,84.00,57.00,10.00,11.00,1.00,3.00
25/01/2019,88.00,50.00,20.00,10.00,1.00,3.00
24/01/2019,138.00,63.00,25.00,13.00,1.00,3.00
23/01/2019,137.00,81.00,34.00,23.00,2.00,4.00
22/01/2019,103.00,76.00,31.00,17.00,2.00,3.00
21/01/2019,141.00,69.00,28.00,17.00,1.00,3.00
20/01/2019,146.00,89.00,36.00,23.00,2.00,5.00
19/01/2019,161.00,92.00,39.00,33.00,5.00,6.00
18/01/2019,158.00,101.00,42.00,29.00,5.00,5.00
17/01/2019,156.00,101.00,40.00,30.00,3.00,6.00
16/01/2019,159.00,104.00,44.00,35.00,4.00,7.00
15/01/2019,157.00,99.00,41.00,23.00,4.00,5.00
14/01/2019,156.00,93.00,38.00,23.00,4.00,5.00
13/01/2019,151.00,88.00,39.00,21.00,2.00,5.00
12/01/2019,161.00,79.00,40.00,16.00,2.00,4.00
11/01/2019,159.00,96.00,43.00,22.00,2.00,5.00
10/01/2019,160.00,92.00,43.00,23.00,2.00,5.00
9/01/2019,158.00,101.00,47.00,40.00,11.00,7.00
8/01/2019,156.00,108.00,44.00,50.00,11.00,8.00
7/01/2019,160.00,107.00,38.00,36.00,5.00,8.00
6/01/2019,160.00,103.00,44.00,29.00,2.00,7.00
5/01/2019,154.00,98.00,46.00,20.00,3.00,5.00
4/01/2019,158.00,91.00,45.00,25.00,3.00,5.00
3/01/2019,148.00,95.00,42.00,35.00,7.00,6.00
2/01/2019,151.00,94.00,44.00,41.00,5.00,8.00
1/01/2019,145.00,95.00,43.00,44.00,7.00,7.00
31/12/2018,98.80,94.00,41.00,41.00,17.00,7.00
30/12/2018,154.00,63.33,26.6,15.3,4.29,4.61
29/12/2018,145.00,90.00,46.00,24.00,8.00,5.00
28/12/2018,134.00,90.00,45.00,20.00,11.00,4.00
27/12/2018,146.00,95.00,36.00,24.00,10.00,5.00
26/12/2018,145.00,87.00,31.00,24.00,5.00,5.00
25/12/2018,156.00,83.00,32.00,20.00,3.00,5.00
24/12/2018,158.00,98.00,45.00,28.00,4.00,5.00
23/12/2018,161.00,97.00,35.00,27.00,2.00,6.00
22/12/2018,157.00,86.00,40.00,22.00,2.00,5.00
21/12/2018,123.00,86.00,41.00,26.00,3.00,5.00
20/12/2018,96.00,73.00,34.00,27.00,2.00,5.00
19/12/2018,76.00,67.00,23.00,25.00,1.00,5.00
18/12/2018,50.00,47.00,21.00,16.00,2.00,3.00
17/12/2018,126.00,27.00,15.00,11.00,2.00,2.00
16/12/2018,160.00,64.00,26.00,13.00,5.00,4.00
15/12/2018,158.00,94.00,41.00,15.00,9.00,5.00
14/12/2018,98.80,87.00,34.00,16.00,3.00,4.00
11/12/2018,160.00,63.33,26.6,15.3,4.29,4.61
10/12/2018,160.00,98.00,25.00,17.00,15.00,5.00
9/12/2018,165.00,92.00,28.00,12.00,3.00,4.00
8/12/2018,158.00,91.00,25.00,14.00,3.00,5.00
7/12/2018,142.00,83.00,34.00,15.00,1.00,5.00
6/12/2018,153.00,68.00,25.00,15.00,1.00,5.00
5/12/2018,148.00,86.00,12.00,32.00,1.00,9.00
4/12/2018,159.00,81.00,20.00,16.00,1.00,5.00
3/12/2018,157.00,92.00,44.00,24.00,2.00,5.00
2/12/2018,153.00,92.00,37.00,25.00,2.00,6.00
1/12/2018,152.00,63.33,39.00,29.00,4.00,6.00
30/11/2018,143.00,93.00,39.00,29.00,5.00,5.00
29/11/2018,98.80,91.00,42.00,24.00,7.00,5.00
20/04/2018,158.00,63.33,26.6,15.3,4.29,4.61
19/04/2018,91.00,107.00,15.00,50.00,11.00,17.00
18/04/2018,72.00,76.00,34.00,25.00,3.00,4.00
17/04/2018,80.00,57.00,36.00,13.00,1.00,2.00
16/04/2018,105.00,63.00,40.00,20.00,1.00,4.00
15/04/2018,70.00,72.00,49.00,27.00,1.00,6.00
14/04/2018,52.00,51.00,28.00,15.00,1.00,3.00
13/04/2018,66.00,46.00,39.00,13.00,4.29,3.00
12/04/2018,72.00,55.00,40.00,19.00,4.29,5.00
11/04/2018,70.00,57.00,36.00,19.00,2.00,3.00
10/04/2018,83.00,54.00,31.00,16.00,4.29,3.00
9/04/2018,87.00,66.00,41.00,24.00,4.29,4.00
8/04/2018,76.00,65.00,50.00,21.00,4.29,5.00
7/04/2018,66.00,49.00,38.00,16.00,4.29,4.00
6/04/2018,118.00,49.00,41.00,21.00,1.00,4.00
5/04/2018,103.00,81.00,40.00,25.00,1.00,5.00
4/04/2018,104.00,72.00,37.00,21.00,4.29,4.00
3/04/2018,120.00,69.00,39.00,18.00,1.00,4.00
2/04/2018,87.00,74.00,40.00,23.00,1.00,4.00
1/04/2018,102.00,58.00,36.00,20.00,4.29,3.00
31/03/2018,117.00,72.00,28.00,19.00,1.00,4.00
30/03/2018,120.00,77.00,48.00,17.00,3.00,5.00
29/03/2018,130.00,77.00,42.00,19.00,2.00,5.00
28/03/2018,115.00,85.00,50.00,24.00,4.00,6.00
27/03/2018,131.00,77.00,48.00,20.00,6.00,5.00
26/03/2018,134.00,81.00,48.00,19.00,3.00,4.00
25/03/2018,154.00,84.00,51.00,19.00,2.00,5.00
24/03/2018,133.00,97.00,46.00,27.00,4.00,6.00
23/03/2018,129.00,99.00,45.00,41.00,8.00,8.00
22/03/2018,107.00,100.00,38.00,39.00,11.00,7.00
21/03/2018,134.00,87.00,33.00,26.00,6.00,5.00
20/03/2018,123.00,73.00,26.00,19.00,2.00,9.00
19/03/2018,99.00,71.00,38.00,36.00,5.00,11.00
18/03/2018,95.00,61.00,40.00,22.00,1.00,9.00
17/03/2018,122.00,54.00,32.00,19.00,4.29,7.00
16/03/2018,141.00,62.00,36.00,17.00,1.00,9.00
15/03/2018,108.00,95.00,38.00,26.00,8.00,10.00
14/03/2018,109.00,71.00,39.00,18.00,3.00,8.00
13/03/2018,89.00,72.00,42.00,26.00,2.00,8.00
12/03/2018,94.00,62.00,37.00,21.00,1.00,8.00
11/03/2018,104.00,84.00,37.00,23.00,1.00,7.00
10/03/2018,143.00,65.00,39.00,17.00,1.00,7.00
9/03/2018,128.00,85.00,50.00,21.00,2.00,9.00
8/03/2018,112.00,84.00,45.00,29.00,1.00,9.00
7/03/2018,101.00,71.00,39.00,22.00,3.00,10.00
6/03/2018,110.00,69.00,42.00,18.00,2.00,8.00
5/03/2018,106.00,71.00,45.00,17.00,4.00,7.00
4/03/2018,124.00,72.00,45.00,20.00,4.00,10.00
3/03/2018,110.00,76.00,49.00,24.00,3.00,8.00
2/03/2018,98.80,71.00,48.00,21.00,3.00,8.00
1/03/2018,126.00,63.33,26.6,15.3,4.29,4.61
28/02/2018,136.00,84.00,32.00,34.00,3.00,10.00
27/02/2018,110.00,84.00,44.00,38.00,3.00,11.00
26/02/2018,109.00,77.00,43.00,40.00,4.00,11.00
25/02/2018,68.00,74.00,43.00,36.00,2.00,9.00
24/02/2018,108.00,57.00,32.00,20.00,2.00,4.00
23/02/2018,126.00,77.00,34.00,23.00,1.00,7.00
22/02/2018,137.00,85.00,37.00,30.00,2.00,9.00
21/02/2018,127.00,87.00,41.00,26.00,3.00,9.00
20/02/2018,116.00,76.00,41.00,20.00,2.00,7.00
19/02/2018,112.00,72.00,40.00,20.00,2.00,7.00
18/02/2018,131.00,73.00,45.00,20.00,2.00,7.00
17/02/2018,117.00,89.00,50.00,37.00,3.00,11.00
16/02/2018,116.00,82.00,38.00,31.00,9.00,9.00
15/02/2018,131.00,72.00,34.00,25.00,8.00,7.00
14/02/2018,125.00,82.00,34.00,29.00,5.00,10.00
13/02/2018,116.00,68.00,34.00,18.00,1.00,8.00
12/02/2018,134.00,63.00,31.00,15.00,4.29,6.00
11/02/2018,158.00,64.00,26.00,11.00,4.29,5.00
10/02/2018,122.00,66.00,28.00,18.00,1.00,6.00
9/02/2018,140.00,76.00,31.00,22.00,2.00,8.00
8/02/2018,105.00,78.00,24.00,30.00,4.00,9.00
7/02/2018,129.00,72.00,32.00,34.00,2.00,10.00
6/02/2018,107.00,89.00,37.00,44.00,4.00,10.00
5/02/2018,96.00,71.00,32.00,29.00,2.00,9.00
4/02/2018,93.00,73.00,42.00,21.00,2.00,8.00
3/02/2018,101.00,69.00,44.00,17.00,3.00,8.00
2/02/2018,112.00,73.00,47.00,25.00,4.00,8.00
1/02/2018,114.00,82.00,36.00,43.00,5.00,10.00
31/01/2018,84.00,83.00,36.00,39.00,5.00,11.00
30/01/2018,157.00,79.00,34.00,29.00,5.00,8.00
29/01/2018,145.00,112.00,23.00,32.00,9.00,8.00
28/01/2018,151.00,113.00,45.00,22.00,2.00,9.00
27/01/2018,155.00,89.00,45.00,25.00,2.00,9.00
26/01/2018,150.00,97.00,58.00,30.00,5.00,10.00
25/01/2018,151.00,97.00,72.00,31.00,10.00,9.00
24/01/2018,148.00,101.00,50.00,30.00,8.00,9.00
23/01/2018,138.00,84.00,43.00,21.00,2.00,7.00
22/01/2018,154.00,79.00,44.00,25.00,2.00,8.00
21/01/2018,148.00,86.00,61.00,25.00,3.00,11.00
20/01/2018,135.00,90.00,52.00,31.00,5.00,10.00
19/01/2018,132.00,91.00,50.00,37.00,11.00,12.00
18/01/2018,139.00,91.00,44.00,31.00,6.00,9.00
17/01/2018,139.00,90.00,43.00,30.00,3.00,11.00
16/01/2018,142.00,82.00,47.00,23.00,3.00,8.00
15/01/2018,162.00,82.00,39.00,20.00,3.00,9.00
14/01/2018,158.00,75.00,51.00,17.00,2.00,9.00
13/01/2018,149.00,85.00,49.00,29.00,6.00,10.00
12/01/2018,156.00,98.00,54.00,34.00,13.00,11.00
11/01/2018,162.00,102.00,57.00,38.00,8.00,11.00
10/01/2018,157.00,110.00,75.00,35.00,5.00,11.00
9/01/2018,161.00,102.00,61.00,28.00,5.00,10.00
8/01/2018,158.00,100.00,60.00,28.00,3.00,11.00
7/01/2018,157.00,94.00,53.00,30.00,3.00,10.00
6/01/2018,154.00,98.00,61.00,28.00,4.00,10.00
5/01/2018,156.00,96.00,75.00,37.00,5.00,11.00
4/01/2018,168.00,90.00,62.00,33.00,6.00,11.00
3/01/2018,165.00,108.00,51.00,30.00,9.00,10.00
2/01/2018,155.00,106.00,64.00,25.00,4.00,6.00
1/01/2018,118.00,90.00,61.00,26.00,2.00,16.00
31/12/2017,147.00,89.00,32.00,25.00,2.00,4.61
30/12/2017,142.00,99.00,36.00,40.00,1.00,4.61
29/12/2017,235.00,83.00,49.00,40.00,13.00,4.61
28/12/2017,155.00,104.00,46.00,49.00,18.00,4.61
27/12/2017,134.00,98.00,48.00,32.00,9.00,7.00
26/12/2017,166.00,82.00,39.00,27.00,7.00,6.00
25/12/2017,165.00,108.00,44.00,31.00,6.00,8.00
24/12/2017,172.00,98.00,38.00,25.00,1.00,12.00
23/12/2017,173.00,100.00,44.00,32.00,1.00,9.00
22/12/2017,152.00,108.00,54.00,32.00,4.00,18.00
21/12/2017,162.00,93.00,30.00,35.00,6.00,4.61
20/12/2017,185.00,99.00,84.00,36.00,3.00,36.00
19/12/2017,117.00,105.00,48.00,47.00,5.00,37.00
18/12/2017,158.00,78.00,46.00,28.00,13.00,17.00
17/12/2017,155.00,91.00,40.00,19.00,6.00,5.00
16/12/2017,149.00,91.00,40.00,34.00,3.00,43.00
15/12/2017,148.00,85.00,44.00,36.00,2.00,7.00
14/12/2017,145.00,75.00,40.00,26.00,2.00,89.00
13/12/2017,148.00,79.00,44.00,26.00,2.00,8.00
12/12/2017,150.00,88.00,53.00,36.00,2.00,11.00
11/12/2017,121.00,92.00,82.00,44.00,5.00,13.00
10/12/2017,105.00,79.00,46.00,30.00,13.00,12.00
9/12/2017,145.00,73.00,40.00,22.00,14.00,6.00
8/12/2017,159.00,112.00,48.00,19.00,7.00,8.00
7/12/2017,154.00,109.00,52.00,21.00,10.00,11.00
6/12/2017,126.00,91.00,48.00,25.00,3.00,13.00
5/12/2017,136.00,67.00,33.00,16.00,1.00,10.00
4/12/2017,154.00,69.00,37.00,17.00,1.00,8.00
3/12/2017,155.00,76.00,45.00,20.00,2.00,9.00
2/12/2017,153.00,83.00,52.00,23.00,3.00,9.00
1/12/2017,150.00,78.00,46.00,20.00,4.00,11.00
30/11/2017,144.00,79.00,46.00,23.00,3.00,10.00
29/11/2017,147.00,76.00,55.00,29.00,4.00,10.00
28/11/2017,196.00,80.00,51.00,29.00,4.00,12.00
27/11/2017,156.00,107.00,70.00,25.00,6.00,12.00
26/11/2017,186.00,97.00,57.00,29.00,10.00,9.00
25/11/2017,152.00,91.00,40.00,34.00,6.00,13.00
24/11/2017,151.00,84.00,47.00,18.00,4.00,9.00
23/11/2017,216.00,85.00,50.00,19.00,1.00,11.00
22/11/2017,98.00,57.00,35.00,15.00,2.00,10.00
21/11/2017,102.00,58.00,48.00,16.00,1.00,9.00
20/11/2017,109.00,56.00,34.00,22.00,2.00,10.00
19/11/2017,86.00,61.00,39.00,24.00,2.00,11.00
18/11/2017,182.00,53.00,35.00,18.00,3.00,8.00
17/11/2017,95.00,47.00,33.00,16.00,3.00,8.00
16/11/2017,103.00,60.00,26.00,20.00,6.00,8.00
15/11/2017,126.00,66.00,29.00,16.00,5.00,9.00
14/11/2017,128.00,78.00,34.00,20.00,8.00,9.00
13/11/2017,135.00,78.00,31.00,24.00,6.00,10.00
12/11/2017,98.80,80.00,48.00,23.00,9.00,10.00
